"","h_name","h_id","datetime","lat","lon","radius","status","id","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_34_nw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall"
"1","ZETA","AL312005",2005-12-30 00:00:00,"23.9N","35.6W",0,"TD","",30,1009,0,0,0,0,0,0,0,0,0,0,0,0,-1
"2","ZETA","AL312005",2005-12-30 06:00:00,"24.2N","36.1W",125,"TS","",40,1005,125,125,0,50,0,0,0,0,0,0,0,0,-1
"3","ZETA","AL312005",2005-12-30 12:00:00,"24.7N","36.6W",140,"TS","",45,1002,140,140,0,75,0,0,0,0,0,0,0,0,-1
"4","ZETA","AL312005",2005-12-30 18:00:00,"25.2N","37.0W",160,"TS","",45,1000,160,160,0,75,0,0,0,0,0,0,0,0,-1
"5","ZETA","AL312005",2005-12-31 00:00:00,"25.6N","37.3W",175,"TS","",45,1000,175,175,0,75,0,0,0,0,0,0,0,0,-1
"6","ZETA","AL312005",2005-12-31 06:00:00,"25.7N","37.6W",150,"TS","",50,997,150,150,30,75,20,0,0,20,0,0,0,0,-1
"7","ZETA","AL312005",2005-12-31 12:00:00,"25.7N","37.9W",120,"TS","",50,997,120,120,30,75,20,0,0,20,0,0,0,0,-1
"8","ZETA","AL312005",2005-12-31 18:00:00,"25.7N","38.1W",120,"TS","",45,1000,120,120,30,75,0,0,0,0,0,0,0,0,-1
"9","ZETA","AL312005",2006-01-01 00:00:00,"25.6N","38.3W",120,"TS","",50,997,120,100,30,75,20,0,0,0,0,0,0,0,-1
"10","ZETA","AL312005",2006-01-01 06:00:00,"25.4N","38.4W",120,"TS","",50,997,120,100,30,75,30,0,0,0,0,0,0,0,-1
"11","ZETA","AL312005",2006-01-01 12:00:00,"25.2N","38.5W",120,"TS","",50,997,120,100,30,100,60,0,0,60,0,0,0,0,-1
"12","ZETA","AL312005",2006-01-01 18:00:00,"25.0N","38.6W",130,"TS","",55,994,130,80,30,90,60,0,0,60,0,0,0,0,-1
"13","ZETA","AL312005",2006-01-02 00:00:00,"24.6N","38.9W",140,"TS","",55,994,140,60,25,90,60,0,0,60,0,0,0,0,-1
"14","ZETA","AL312005",2006-01-02 06:00:00,"24.3N","39.7W",140,"TS","",50,997,140,60,20,100,40,0,0,40,0,0,0,0,-1
"15","ZETA","AL312005",2006-01-02 12:00:00,"23.8N","40.4W",120,"TS","",45,1000,120,60,20,100,0,0,0,0,0,0,0,0,-1
"16","ZETA","AL312005",2006-01-02 18:00:00,"23.6N","40.8W",120,"TS","",50,997,120,60,20,100,60,0,0,60,0,0,0,0,-1
"17","ZETA","AL312005",2006-01-03 00:00:00,"23.4N","41.0W",100,"TS","",55,994,100,75,25,100,60,0,0,60,0,0,0,0,-1
"18","ZETA","AL312005",2006-01-03 06:00:00,"23.3N","41.3W",100,"TS","",55,994,100,75,25,100,60,0,0,60,0,0,0,0,-1
"19","ZETA","AL312005",2006-01-03 12:00:00,"23.2N","41.6W",100,"TS","",55,994,100,75,25,100,60,0,0,60,0,0,0,0,-1
"20","ZETA","AL312005",2006-01-03 18:00:00,"23.0N","42.1W",100,"TS","",55,994,100,75,25,100,60,0,0,60,0,0,0,0,-1
"21","ZETA","AL312005",2006-01-04 00:00:00,"22.6N","42.4W",125,"TS","",55,994,125,75,25,125,60,0,0,60,0,0,0,0,-1
"22","ZETA","AL312005",2006-01-04 06:00:00,"22.1N","42.9W",125,"TS","",50,997,125,75,25,125,60,0,0,60,0,0,0,0,-1
